user_id,datetime,season,year,month,holiday,weekday,workingday,weather_condition,casual,registered,total_count
1,2011-01-01,Winter,2011,Jan,No,Saturday,No,Misty,331,654,985
2,2011-01-02,Winter,2011,Jan,No,Sunday,No,Misty,131,670,801
3,2011-01-03,Winter,2011,Jan,No,Monday,Yes,Clear,120,1229,1349
4,2011-01-04,Winter,2011,Jan,No,Tuesday,Yes,Clear,108,1454,1562
5,2011-01-05,Winter,2011,Jan,No,Wednesday,Yes,Clear,82,1518,1600
6,2011-01-06,Winter,2011,Jan,No,Thursday,Yes,Clear,88,1518,1606
7,2011-01-07,Winter,2011,Jan,No,Friday,Yes,Misty,148,1362,1510
8,2011-01-08,Winter,2011,Jan,No,Saturday,No,Misty,68,891,959
9,2011-01-09,Winter,2011,Jan,No,Sunday,No,Clear,54,768,822
10,2011-01-10,Winter,2011,Jan,No,Monday,Yes,Clear,41,1280,1321
11,2011-01-11,Winter,2011,Jan,No,Tuesday,Yes,Misty,43,1220,1263
12,2011-01-12,Winter,2011,Jan,No,Wednesday,Yes,Clear,25,1137,1162
13,2011-01-13,Winter,2011,Jan,No,Thursday,Yes,Clear,38,1368,1406
14,2011-01-14,Winter,2011,Jan,No,Friday,Yes,Clear,54,1367,1421
15,2011-01-15,Winter,2011,Jan,No,Saturday,No,Misty,222,1026,1248
16,2011-01-16,Winter,2011,Jan,No,Sunday,No,Clear,251,953,1204
17,2011-01-17,Winter,2011,Jan,Yes,Monday,No,Misty,117,883,1000
18,2011-01-18,Winter,2011,Jan,No,Tuesday,Yes,Misty,9,674,683
19,2011-01-19,Winter,2011,Jan,No,Wednesday,Yes,Misty,78,1572,1650
20,2011-01-20,Winter,2011,Jan,No,Thursday,Yes,Misty,83,1844,1927
21,2011-01-21,Winter,2011,Jan,No,Friday,Yes,Clear,75,1468,1543
22,2011-01-22,Winter,2011,Jan,No,Saturday,No,Clear,93,888,981
23,2011-01-23,Winter,2011,Jan,No,Sunday,No,Clear,150,836,986
24,2011-01-24,Winter,2011,Jan,No,Monday,Yes,Clear,86,1330,1416
25,2011-01-25,Winter,2011,Jan,No,Tuesday,Yes,Misty,186,1799,1985
26,2011-01-26,Winter,2011,Jan,No,Wednesday,Yes,Light_RainSnow,34,472,506
27,2011-01-27,Winter,2011,Jan,No,Thursday,Yes,Clear,15,416,431
28,2011-01-28,Winter,2011,Jan,No,Friday,Yes,Misty,38,1129,1167
29,2011-01-29,Winter,2011,Jan,No,Saturday,No,Clear,123,975,1098
30,2011-01-30,Winter,2011,Jan,No,Sunday,No,Clear,140,956,1096
31,2011-01-31,Winter,2011,Jan,No,Monday,Yes,Misty,42,1459,1501
32,2011-02-01,Winter,2011,Feb,No,Tuesday,Yes,Misty,47,1313,1360
33,2011-02-02,Winter,2011,Feb,No,Wednesday,Yes,Misty,72,1454,1526
34,2011-02-03,Winter,2011,Feb,No,Thursday,Yes,Clear,61,1489,1550
35,2011-02-04,Winter,2011,Feb,No,Friday,Yes,Misty,88,1620,1708
36,2011-02-05,Winter,2011,Feb,No,Saturday,No,Misty,100,905,1005
